name,weight,calories_ps,calories_pg,fat_ps,fat_pg,fat_pc,carbs_ps,carbs_pg,carbs_pc,protein_ps,protein_pg,protein_pc,cholesterol_ps,cholesterol_pg,cholesterol_pc,satfat_ps,satfat_pg,satfat_pc
"CHICKEN, CANNED, BONELESS 5 OZ",142,235,165,11,7.7,4.7,0,0.0,0.0,31,21.8,13.2,88,62.0,37.4,3.1,2.18,1.3
"CHICKPEAS, COOKED, DRAINED 1 CUP",163,270,166,4,2.5,1.5,45,27.6,16.7,15,9.2,5.6,0,0.0,0.0,0.4,0.25,0.1
"BAKING POWDER,SAS, CA PO4 1 TSP",3,5,167,0,0.0,0.0,1,33.3,20.0,0,0.0,0.0,0,0.0,0.0,0,0.00,0.0
"1000 ISLAND, SALAD DRSNG,LOCAL1 TBSP",15,25,167,2,13.3,8.0,2,13.3,8.0,0,0.0,0.0,2,13.3,8.0,0.2,1.33,0.8
IMITATN SOUR DRESSING 1 TBSP,12,20,167,2,16.7,10.0,1,8.3,5.0,0,0.0,0.0,1,8.3,5.0,1.6,13.33,8.0
"OLIVES, CANNED, RIPE, MISSION 3 SMALL",9,15,167,2,22.2,13.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.3,3.33,2.0
MISO 1 CUP,276,470,170,13,4.7,2.8,65,23.6,13.8,29,10.5,6.2,0,0.0,0.0,1.8,0.65,0.4
"CHICKEN, ROASTED, DRUMSTICK 1.6 OZ",44,75,170,2,4.5,2.7,0,0.0,0.0,12,27.3,16.0,41,93.2,54.7,0.7,1.59,0.9
"TURKEY, ROASTED, LIGHT + DARK 3 PIECES",85,145,171,4,4.7,2.8,0,0.0,0.0,25,29.4,17.2,65,76.5,44.8,1.4,1.65,1.0
"TURKEY, ROASTED, LIGHT + DARK 1 CUP",140,240,171,7,5.0,2.9,0,0.0,0.0,41,29.3,17.1,106,75.7,44.2,2.3,1.64,1.0
"BAKING POWDER,SAS,CAPO4+CASO4 1 TSP",2.9,5,172,0,0.0,0.0,1,34.5,20.0,0,0.0,0.0,0,0.0,0.0,0,0.00,0.0
"RICOTTA CHEESE, WHOLE MILK 1 CUP",246,430,175,32,13.0,7.4,7,2.8,1.6,28,11.4,6.5,124,50.4,28.8,20.4,8.29,4.7
"AVOCADOS, CALIFORNIA 1 AVOCDO",173,305,176,30,17.3,9.8,12,6.9,3.9,4,2.3,1.3,0,0.0,0.0,4.5,2.60,1.5
"BEEF HEART, BRAISED 3 OZ",85,150,176,5,5.9,3.3,0,0.0,0.0,24,28.2,16.0,164,192.9,109.3,1.2,1.41,0.8
"SALMON, SMOKED 3 OZ",85,150,176,8,9.4,5.3,0,0.0,0.0,18,21.2,12.0,51,60.0,34.0,2.6,3.06,1.7
